ID,Name,Type,Episodes,Rating,Realease_year,Genres,Release_season,Studio
63,SK8 the Infinity,TV   ,12,4.38,2021,"Comedy, Sports",Winter,Bones
64,Hajime no Ippo: The Fighting!,TV   ,75,4.38,2000,"Action, Drama",Fall ,MADHOUSE
65,Code Geass: Lelouch of the Rebellion,TV   ,25,4.38,2006,"Mecha, Sci Fi",Fall ,Sunrise
66,JoJo’s Bizarre Adventure: Stardust Crusaders - Battle in Egypt,TV   ,24,4.37,2015,"Action, Adventure",Winter,David Production
67,Yona of the Dawn: Zeno Arc,OVA  ,2,4.37,2016,"Action, Adventure",,Pierrot
68,JoJo's Bizarre Adventure: Diamond is Unbreakable,TV   ,39,4.37,2016,"Action, Mystery",Spring,David Production
69,Kamisama Kiss: Kako-hen,OVA  ,4,4.37,2015,"Comedy, Romance",,TMS Entertainment
70,Hajime no Ippo: New Challenger,TV   ,26,4.37,2009,"Action, Drama",Winter,MADHOUSE
71,Mushishi Zoku Shou 2nd Season,TV   ,10,4.37,2014,"Fantasy, Seinen",Fall ,Artland
72,Attack on Titan,TV   ,25,4.37,2013,"Action, Fantasy",Spring,WIT Studio
73,Haikyuu!! Tokushuu! Harukou Volley ni Kaketa Seishun,OVA  ,1,4.37,2017,"Shounen, Sports",,Production I.G
74,Kaguya-sama: Love Is War?,TV   ,12,4.37,2020,"Comedy, Drama",Spring,A-1 Pictures
75,Gintama: Porori-hen,TV   ,13,4.36,2017,"Action, Comedy",Fall ,BN Pictures
76,March Comes in like a Lion 2nd Season,TV   ,22,4.36,2017,"Drama, Seinen",Fall ,SHAFT
77,Natsume's Book of Friends Season 3,TV   ,13,4.36,2011,"Drama, Shoujo",Summer,Brain's Base
78,Attack on Titan 2nd Season,TV   ,12,4.36,2017,"Action, Fantasy",Spring,WIT Studio
79,I Want to Eat Your Pancreas,Movie,0,4.36,2018,"Drama, Romance",,Studio VOLN
80,Rascal Does Not Dream of a Dreaming Girl,Movie,0,4.36,2019,"Drama, Romance",,CloverWorks
81,Given Movie,Movie,0,4.36,2020,"BL, Drama",,Lerche
82,Mushishi Zoku Shou,TV   ,10,4.36,2014,"Fantasy, Seinen",Spring,Artland
83,Princess Mononoke,Movie,0,4.36,1997,"Action, Adventure",,Studio Ghibli
84,Kuroko's Basketball 3,TV   ,25,4.36,2015,"Shounen, Sports",Winter,Production I.G
85,BTS: We are Bulletproof - the Eternal,Music,0,4.36,2020,"Chibi, Korean Animation",,Studio Pivote
86,Haikyuu!! Movie 4: Battle of Concepts,Movie,0,4.36,2017,"Shounen, Sports",,Production I.G
87,Dr. Stone,TV   ,24,4.36,2019,"Adventure, Comedy",Summer,8 Pan
88,Attack on Titan: No Regrets,OVA  ,2,4.36,2014,"Action, Fantasy",,WIT Studio
89,Horimiya,TV   ,13,4.36,2021,"Comedy, Romance",Winter,CloverWorks
90,Cowboy Bebop,TV   ,26,4.36,1998,"Action, Adventure",Spring,Sunrise
91,Hotarubi no Mori e,Movie,0,4.36,2011,"Drama, Romance",,Brain's Base
92,The Disastrous Life of Saiki K. 2nd Season,TV   ,24,4.36,2018,"Comedy, Shounen",Winter,J.C.Staff
93,Monogatari Series: Second Season,TV   ,26,4.36,2013,"Action, Comedy",Summer,SHAFT
94,Castlevania Season 4,Web  ,10,4.35,2021,"Action, Adventure",Spring,Tiger Animation
95,Doukyuusei,Movie,0,4.35,2016,"BL, Drama",,A-1 Pictures
96,ERASED,TV   ,12,4.35,2016,"Drama, Mystery",Winter,A-1 Pictures
97,The Rising of the Shield Hero,TV   ,25,4.35,2019,"Action, Adventure",Winter,Kinema Citrus
98,To Your Eternity,TV   ,20,4.35,2021,"Adventure, Drama",Spring,Brain's Base
99,Hajime no Ippo: Rising,TV   ,25,4.35,2013,"Action, Drama",Fall ,MADHOUSE
100,"Josee the Tiger and the Fish",Movie,0,4.35,2020,"Drama, Romance",,Bones
101,Made in Abyss,TV   ,13,4.35,2017,"Adventure, Drama",Summer,Kinema Citrus
102,Rurouni Kenshin: Tsuiokuhen,OVA  ,4,4.35,1999,"Drama, Romance",,Studio DEEN
103,Descending Stories: Shouwa Genroku Rakugo Shinjuu,TV   ,12,4.35,2017,"Drama, Josei",Winter,Studio DEEN
104,Haikyuu!! Movie 3: Talent and Sense,Movie,0,4.35,2017,"Shounen, Sports",,Production I.G
105,Mo Dao Zu Shi Q,Web  ,30,4.34,2020,"Comedy, Ancient China",,B.C MAY PICTURES
106,Natsume's Book of Friends Season 2,TV   ,13,4.34,2009,"Drama, Shoujo",Winter,Brain's Base
107,Made in Abyss Movie: Dawn of the Deep Soul,Movie,0,4.34,2020,"Adventure, Fantasy",,Kinema Citrus
108,Fruits Basket 1st Season,TV   ,25,4.34,2019,"Comedy, Drama",Spring,TMS Entertainment
109,Kizumonogatari Part 3: Reiketsu,Movie,0,4.34,2017,"Action, Drama",,SHAFT
110,Dr. Stone: Stone Wars,TV   ,11,4.34,2021,"Adventure, Comedy",Winter,8 Pan
111,My Hero Academia 4,TV   ,25,4.34,2019,"Action, Drama",Fall ,Bones
112,Owarimonogatari II,TV Sp,0,4.34,2017,"Drama, Mystery",,SHAFT
113,Great Teacher Onizuka,TV   ,43,4.33,1999,"Comedy, Drama",Summer,Pierrot
114,Your lie in April,TV   ,22,4.33,2014,"Drama, Romance",Fall ,A-1 Pictures
115,Bungo Stray Dogs 3rd Season,TV   ,12,4.33,2019,"Action, Mystery",Spring,Bones
116,Kamisama Kiss 2nd Season,TV   ,12,4.33,2015,"Comedy, Fantasy",Winter,TMS Entertainment
117,Violet Evergarden: Eternity and the Auto Memory Doll,Movie,0,4.33,2019,"Drama, Melancholy",,Kyoto Animation
118,Mob Psycho 100,TV   ,12,4.33,2016,"Action, Comedy",Summer,Bones
119,Natsume's Book of Friends Season 6 Specials,DVD S,0,4.33,2017,"Drama, Fantasy",,Shuka
120,Kuroko's Basketball 2,TV   ,25,4.33,2013,"Shounen, Sports",Fall ,Production I.G
121,Natsume's Book of Friends Movie: Ephemeral Bond,Movie,0,4.33,2018,"Drama, Fantasy",,Shuka
122,Odd Taxi,TV   ,13,4.32,2021,"Drama, Mystery",Spring,P.I.C.S.
123,The Legend of Hei,Movie,0,4.32,2019,"Action, Adventure",,
124,Death Note,TV   ,37,4.32,2006,"Mystery, Shounen",Fall ,MADHOUSE
125,Moriarty the Patriot 2nd Season,TV   ,13,4.32,2021,"Mystery, Shounen",Spring,Production I.G
126,Fate/stay night: Heaven's Feel III. spring song,Movie,0,4.32,2020,"Action, Fantasy",,ufotable
127,One Piece Movie 14: Stampede,Movie,0,4.32,2019,"Action, Adventure",,Toei Animation
128,Kingdom 3,TV   ,26,4.32,2020,"Action, Drama",Spring,St. Signpost
129,One Piece,TV   ,100,4.32,1999,"Action, Adventure",Fall ,Toei Animation
130,Mushishi: Hihamukage,TV Sp,0,4.32,2014,"Fantasy, Seinen",,Artland
131,Tokyo Revengers,TV   ,24,4.31,2021,"Action, Drama",Spring,LIDEN FILMS
132,My Hero Academia Movie 2: Heroes:Rising,Movie,0,4.31,2019,"Action, Sci Fi",,Bones
133,Fate/Zero 2,TV   ,12,4.31,2012,"Action, Fantasy",Spring,ufotable
134,My Hero Academia,TV   ,13,4.31,2016,"Action, Comedy",Spring,Bones
135,Steins;Gate Movie: Load Region of Deja Vu,Movie,0,4.31,2013,"Drama, Sci Fi",,WHITE FOX
136,KonoSuba – God’s blessing on this wonderful world! Movie: Legend of Crimson,Movie,0,4.31,2019,"Comedy, Ecchi",,J.C.Staff
137,Yuri!!! on Ice,TV   ,12,4.31,2016,"Drama, Sports",Fall ,MAPPA
138,Dou Po Cangqiong: San Nian Zhi Yao,Web  ,12,4.31,2021,"Action, Fantasy",,Motion Magic
139,Dororo (2019),TV   ,24,4.30,2019,"Action, Adventure",Winter,MAPPA
140,Bunny Drop,TV   ,11,4.30,2011,"Drama, Josei",Summer,Production I.G
141,Gintama: Shinyaku Benizakura-hen,Movie,0,4.30,2010,"Action, Comedy",,Sunrise
142,The Garden of Sinners Movie 5: Paradox Paradigm,Movie,0,4.30,2008,"Drama, Mystery",,ufotable
143,Bakuman. 3,TV   ,25,4.30,2012,"Drama, Shounen",Fall ,J.C.Staff
144,The Disastrous Life of Saiki K.,TV   ,120,4.30,2016,"Comedy, Shounen",Summer,J.C.Staff
145,Given: Uragawa no Sonzai,OVA  ,1,4.30,2021,"Music, Based on a Manga",,Lerche
146,Black Butler: Book of the Atlantic,Movie,0,4.30,2017,"Shounen, 19th Century",,A-1 Pictures
147,The Boy and the Beast,Movie,0,4.30,2015,"Action, Fantasy",,Studio Chizu
148,Miss Kobayashi's Dragon Maid S,TV   ,12,4.30,2021,"Comedy, Fantasy",Summer,Kyoto Animation
149,Kono Oto Tomare! 2nd Season,TV   ,13,4.30,2019,"Drama, Romance",Fall ,Platinum Vision
150,The Disappearance of Haruhi Suzumiya,Movie,0,4.30,2010,"Drama, Sci Fi",,Kyoto Animation
151,Kizumonogatari Part 2: Nekketsu,Movie,0,4.29,2016,"Action, Ecchi",,SHAFT
152,Mushishi Zoku Shou: Suzu no Shizuku,Movie,0,4.29,2015,"Fantasy, Seinen",,Artland
153,Overlord III,TV   ,13,4.29,2018,"Action, Fantasy",Summer,MADHOUSE
154,Re:ZERO -Starting Life in Another World- Season 2: Part II,TV   ,12,4.29,2021,"Action, Adventure",Winter,WHITE FOX
155,Laid-Back Camp 2nd Season,TV   ,13,4.29,2021,"Adventure, Comedy",Winter,C-Station
156,Saga of Tanya the Evil Movie,Movie,0,4.29,2019,"Action, Fantasy",,NUT
157,Mushishi Zoku Shou: Odoro no Michi,TV Sp,0,4.29,2014,"Fantasy, Seinen",,Artland
158,The Disastrous Life of Saiki K. 3,TV Sp,0,4.29,2018,"Comedy, Shounen",,J.C.Staff
159,Hellsing Ultimate,OVA  ,10,4.29,2006,"Action, Horror",,Graphinica
160,Natsume's Book of Friends Season 5 Specials,DVD S,0,4.29,2017,"Shoujo, Slice of Life",,Shuka
161,JoJo's Bizarre Adventure Re-Edited,TV Sp,0,4.28,2014,"Action, Shounen",,David Production
162,Parasyte -the maxim-,TV   ,24,4.28,2014,"Action, Drama",Fall ,MADHOUSE
163,Hikari: Be My Light,Web  ,0,4.28,2020,"BL, Drama",,
164,Ouran High School Host Club,TV   ,26,4.28,2006,"Comedy, Reverse Harem",Spring,Bones
165,Food Wars! The Second Plate,TV   ,13,4.28,2016,"Comedy, Ecchi",Summer,J.C.Staff
166,Ghost in the Shell: Stand Alone Complex 2nd Gig,TV   ,26,4.28,2004,"Sci Fi, Seinen",Winter,Production I.G
167,Barakamon,TV   ,12,4.28,2014,"Comedy, Shounen",Summer,Kinema Citrus
168,Noragami Aragoto,TV   ,13,4.28,2015,"Action, Drama",Fall ,Bones
169,Ace of the Diamond: Act II,TV   ,52,4.28,2019,"Shounen, Sports",Spring,MADHOUSE
170,Re:ZERO -Starting Life in Another World- Season 2,TV   ,13,4.28,2020,"Action, Adventure",Summer,WHITE FOX
171,Ascendance of a Bookworm: Part II,TV   ,12,4.28,2020,"Drama, Fantasy",Spring,Ajia-do
172,Kamisama Kiss: Kamisama Shiawase ni Naru,OVA  ,1,4.28,2016,"Comedy, Fantasy",,TMS Entertainment
173,Quanzhi Gaoshou: Tebie Pian,OVA  ,3,4.28,2018,"Action, Drama",,Colored Pencil Animation
174,Steins;Gate 0,TV   ,23,4.28,2018,"Drama, Mystery",Spring,WHITE FOX
175,Golden Kamuy Season 3,TV   ,12,4.28,2020,"Action, Adventure",Fall ,Geno Studio
176,Weathering With You,Movie,0,4.27,2019,"Drama, Lifestyle Change",,CoMix Wave Films
177,Semantic Error,Web  ,0,4.27,2021,"BL, Comedy",,
178,86: Eighty-Six - Part II,TV   ,0,4.27,2021,"Action, Drama",Fall ,A-1 Pictures
179,Dou Po Cangqiong 4th Season,Web  ,24,4.27,2021,"Action, Fantasy",,Motion Magic
180,School Babysitters,TV   ,12,4.27,2018,"Comedy, Drama",Winter,Brain's Base
181,Douluo Dalu,Web  ,26,4.27,2018,"Action, Fantasy",,Sparkly Key Animation Studio
182,The Garden of Sinners Movie 7: ......Not Nothing Heart. (Murder Speculation Part B),Movie,0,4.27,2009,"Drama, Mystery",,ufotable
183,Major Season 5,TV   ,25,4.27,2009,"Drama, Shounen",Winter,Synergy SP
184,Bungo Stray Dogs 2nd Season,TV   ,12,4.27,2016,"Action, Mystery",Fall ,Bones
185,Maquia: When the Promised Flower Blooms,Movie,0,4.27,2018,"Adventure, Drama",,P.A. WORKS
186,Steins;Gate: Egoistic Poriomania,DVD S,0,4.27,2012,"Comedy, Sci Fi",,WHITE FOX
187,Mushishi,TV   ,26,4.27,2005,"Fantasy, Seinen",Fall ,Artland
