ID,Name,Type,Episodes,Rating,Realease_year,Genres,Release_season,Studio
3990,Genki! Genki! Nontan: Spoon Tan Tan Tan,OVA  ,1,3.58,2013,"Animal Protagonists, Cats",,POLYGON PICTURES
3991,Manga Doushite Monogatari OVA,OVA  ,2,3.58,1984,"Adventure, Family Friendly",,
3992,Genki! Genki! Nontan: Spoon Tan Tan Tan,OVA  ,1,3.58,2013,"Animal Protagonists, Cats",,POLYGON PICTURES
3993,"Wake Up, Girls! Movie 1: The Shadow of Youth",Movie,0,3.58,2015,"Idols, Music",,Millepensee
3994,Record of Lodoss War: Chronicles of the Heroic Knight,TV   ,27,3.58,1998,"Action, Adventure",Spring,AIC
3995,STARMYU OVA,OVA  ,2,3.58,2016,"Music, Music School",,C-Station
3996,Fullmetal Alchemist: The Sacred Star of Milos Specials,DVD S,0,3.58,2011,"Comedy, Shounen",,Bones
3997,Doki Doki School Hours Specials,DVD S,0,3.58,2004,"Comedy, Seinen",,J.C.Staff
3998,"The Familiar of Zero: ""Rondo"" of Princesses Picture Drama",DVD S,0,3.58,2008,"Comedy, Ecchi",,J.C.Staff
3999,Gingitsune: Messenger Fox of the Gods,TV   ,12,3.58,2013,"Seinen, Slice of Life",Fall ,diomedea
4000,Midnight occult civil servants,TV   ,12,3.58,2019,"Fantasy, Mystery",Spring,LIDEN FILMS
4001,Mobile Suit Gundam SEED: After Phase: In the Valley of Stars,DVD S,0,3.58,2004,"Mecha, Sci Fi",,
4002,Sangokushi Daisanbu Harukanaru Taichi,Movie,0,3.58,1994,"Action, Ancient China",,Toei Animation
4003,Black Cat Special,DVD S,0,3.58,2006,"Shounen, Based on a Manga",,GONZO
4004,Crayon Shin-chan Movie 24: Bakusui! Yumemi World Dai Totsugeki,Movie,0,3.58,2016,"Adventure, Comedy",,Shin-Ei Animation
4005,Eve: We're Still Underground,Music,0,3.58,2019,"Adventure, Fantasy",,WIT Studio
4006,Majestic Prince,TV   ,24,3.58,2013,"Action, Drama",Spring,Doga Kobo
4007,Shakugan no Shana Specials,DVD S,0,3.58,2006,"Comedy, Fantasy",,J.C.Staff
4008,Tatsumi,Movie,0,3.58,2011,"Drama, Autobiographies",,
4009,Cooking with Valkyries Spring Festival Special,Web  ,1,3.58,2021,"Slice of Life, Chinese Animation",,Thundray
4010,Karl to Fushigi na Tou,TV   ,26,3.58,2010,"Slice of Life, Animal Protagonists",Fall ,Nippon Animation
4011,Kurousa-P: Senbonzakura,Music,0,3.58,2011,Vocaloid,,
4012,Sekishoku Elegy,OVA  ,1,3.58,2007,"Romance, Ga-nime",,Toei Animation
4013,Shin Dokonjou Gaeru,TV   ,30,3.58,1981,"Comedy, Shounen",,TMS Entertainment
4014,Tetsujin 28-gou (2004),TV   ,26,3.58,2004,"Action, Mecha",Spring,Palm Studio
4015,Orenchi no Furo Jijou,TV   ,13,3.58,2014,"Comedy, Josei",Fall ,Asahi Production
4016,Planet With,TV   ,12,3.58,2018,"Action, Mecha",Summer,J.C.Staff
4017,Gohan Suki,Other,0,3.58,2017,"Food and Beverage, Short Episodes",,
4018,Ttori wa Zeta Robot,Movie,0,3.58,1985,"Action, Adventure",,
4019,Tsuyoshi Shikkari Shinasai: Tsuyoshi no Time Machine de Shikkari Shinasai,Movie,0,3.58,1993,"Comedy, Seinen",,
4020,Piercing I,Movie,0,3.58,2010,"Drama, Chinese Animation",,
4021,Yu-Gi-Oh! Duel Monsters: Battle City Special,TV Sp,0,3.58,2002,"Shounen, Card Battles",,Gallop
4022,Tezuka Osamu Monogatari: Boku wa Son Gokuu,TV Sp,0,3.58,1989,"Adventure, Fantasy",,Tezuka Productions
4023,Negima!? Haru Special!?,OVA  ,1,3.58,2006,"Comedy, Ecchi",,SHAFT
4024,Mar,TV   ,102,3.58,2005,"Action, Adventure",Spring,Synergy SP
4025,UFO Robo Grendizer,TV   ,74,3.58,1975,"Action, Mecha",,Toei Animation
4026,Hime-chan no Ribbon,TV   ,61,3.58,1992,"Fantasy, Magical Girl",,Gallop
4027,Mukashi Mukashi Momotarou,Movie,0,3.58,1972,"Adventure, Fantasy",,
4028,Perrine Monogatari,TV   ,53,3.58,1978,"Drama, 19th Century",,Nippon Animation
4029,Casshern Sins,TV   ,24,3.58,2008,"Action, Sci Fi",Fall ,MADHOUSE
4030,Dragon Ball Z Movie 5: Cooler's Revenge,Movie,0,3.58,1991,"Action, Shounen",,Toei Animation
4031,CIEL: Mado wo Akete,Music,0,3.58,2021,,,CLAP
4032,Haiyore! Nyaruko-san,TV   ,12,3.58,2012,"Action, Comedy",Spring,XEBEC
4033,Tales of HR,Web  ,12,3.58,2018,"Comedy, Chibi",Spring,Signal.MD
4034,Osomatsu-kun: Suika no Hoshi kara Konnichiwa zansu!,Movie,0,3.58,1989,"Comedy, Shounen",,Pierrot
4035,Those Who Hunt Elves II,TV   ,12,3.57,1997,"Action, Adventure",Fall ,Group TAC
4036,CB Chara Go Nagai World,OVA  ,3,3.57,1991,"Comedy, Mecha",,Triangle Staff
4037,Atashinchi,TV   ,330,3.57,2002,"Comedy, Slice of Life",Spring,Shin-Ei Animation
4038,Bucchigiri,OVA  ,4,3.57,1989,"Shounen, Sports",,Artland
4039,Sore Ike! Anpanman: Dokin-chan no Dokidoki Calendar,Movie,0,3.57,1991,"Comedy, Anthropomorphic",,
4040,Shi Wan Ge Leng Xiaohua Movie,Movie,0,3.57,2015,"Comedy, Chinese Animation",,L2 Studio
4041,Disney: Twisted-Wonderland 1-shuunen Kinen PV,Web  ,1,3.57,2021,"Disney, Non-Human Protagonists",,
4042,Digimon Adventure Memorial Story Project,Web  ,5,3.57,2020,"Adventure, Drama",Winter,TYO Animations
4043,Munto 2: Beyond the Walls of Time,OVA  ,1,3.57,2005,"Action, Drama",,Kyoto Animation
4044,Toufu Kozou,Movie,0,3.57,2011,"Adventure, Comedy",,Lapiz
4045,Shoukoushi Cedie Specials,TV Sp,0,3.57,2001,"Drama, 19th Century",,Nippon Animation
4046,Legend of Basara,TV   ,13,3.57,1998,"Action, Adventure",,Spring 1998
4047,Eve: Outsider,Music,0,3.57,2018,Sci Fi,,
4048,Free! Timeless Medley: Yakusoku - Character Butai Aisatsu,Other,0,3.57,2017,"Comedy, Short Episodes",,
4049,Captain Harlock: Mystery of the Arcadia,Movie,0,3.57,1978,"Action, Drama",,Toei Animation
4050,Dorohedoro: Ma no Omake,DVD S,0,3.57,2020,"Comedy, Fantasy",,MAPPA
4051,Chima: Arifureta Itsuka,Music,0,3.57,2021,Dogs,,
4052,Farewell to Space Battleship Yamato: In the Name of Love,Movie,0,3.57,1978,"Drama, Sci Fi",,
4053,Genshiken: Second Generation OVA,OVA  ,1,3.57,2013,"Comedy, Drama",,Production I.G
4054,Dragon Ball Z Movie 10: Broly - Second Coming,Movie,0,3.57,1994,"Action, Shounen",,Toei Animation
4055,Lemon Angel YJ-ban,OVA  ,2,3.57,1990,"Romance, School Life",,
4056,Chichi to Ko,TV Sp,0,3.57,1998,Family Friendly,,
4057,Rockman.EXE Beast+,TV   ,26,3.57,2006,"Sci Fi, Proxy Battles",Spring,XEBEC
4058,Black Clover: Jump Festa 2016 Special,Other,0,3.57,2016,"Action, Adventure",,I.Gzwei
4059,Genki Bakuhatsu Ganbaruger,TV   ,47,3.57,1992,"Adventure, Comedy",,Sunrise
4060,Green Days: Dinosaur and I,Movie,0,3.57,2011,"Drama, Korean Animation",,
4061,Wojia Da Shixiong Shi Ge Fanpai,Web  ,13,3.57,2020,"Comedy, Fantasy",,
4062,Toriko: Barbarian Ivy wo Hokaku Seyo!,Other,0,3.57,2010,"Action, Adventure",,
4063,The Perfect Insider,TV   ,11,3.57,2015,"Mystery, Island",Fall ,A-1 Pictures
4064,Digimon Adventure 02 Movie: Diaboromon Strikes Back,Movie,0,3.57,2001,"Action, Sci Fi",,Toei Animation
4065,Tenjho Tenge: The Past Chapter,TV Sp,0,3.57,2005,"Action, Ecchi",,MADHOUSE
4066,Crystal Sky of Yesterday,Movie,0,3.57,2018,"Drama, Romance",,Gudong Animation Studio
4067,Puchimas! Petit Petit [email protected] OVA,OVA  ,2,3.57,2018,"Chibi, Idols",,
4068,Detective Conan: Chase the Mysterious Comet Monster!,OVA  ,1,3.57,2001,Mystery,,TMS Entertainment
4069,Guilty Crown Kiseki: Reassortment,TV Sp,0,3.57,2012,"Action, Mecha",,Production I.G
4070,The [email protected]: Cinderella Girls,TV   ,13,3.57,2015,"Idols, Music",Winter,A-1 Pictures
4071,Higurashi: When They Cry - Sotsu,TV   ,15,3.57,2021,"Horror, Mystery",Summer,Passione
4072,Dash! Kappei,TV   ,65,3.57,1981,"Comedy, Ecchi",,Tatsunoko Production
4073,Chiisana Love Letter: Mariko to Nemunoki no Kodomo-tachi,TV Sp,0,3.57,1981,"Drama, School Life",,
4074,Thermae Romae x Asahi Shimbun Digital Collaboration,Other,0,3.57,2012,"Comedy, Seinen",,DLE
4075,Hatenkou Yuugi,TV   ,10,3.57,2008,"Adventure, Drama",Winter,Studio DEEN
4076,Little Polar Bear: Shirokuma-kun Gets on a Ship,OVA  ,1,3.57,1991,"Adventure, Fantasy",,Production I.G
4077,The Story of Mr. Sorry,Movie,0,3.57,2009,"Drama, Korean Animation",,
4078,Sherlock Hound,TV   ,26,3.57,1984,"19th Century, Animal Protagonists",,TMS Entertainment
4079,Mobile Suit Gundam SEED C.E.73: Stargazer,Web  ,3,3.57,2006,"Mecha, Sci Fi",Summer,Sunrise
4080,Gintama x Monster Strike,Other,0,3.57,2019,"Action, Comedy",,BN Pictures
4081,Steins;Gate 0: Valentine's of Crystal Polymorphism -Bittersweet Intermedio-,DVD S,0,3.57,2018,"Drama, Sci Fi",,WHITE FOX
4082,Dixie Flatline: Just Be Friends,Music,0,3.57,2009,Vocaloid,,
4083,Manbo-P: Irokoizata wa Subete Sakuzu de Kaiketsu Kanou Aru Koto no Shoumei,Music,0,3.57,2017,"Comedy, Romance",,
4084,Narara Superboard,TV   ,28,3.57,1990,"Action, Adventure",,
4085,H2O: Footprints in the Sand,TV   ,12,3.57,2008,"Drama, Romance",Winter,Zexcs
4086,Dorami-chan: A Blue Straw Hat,Movie,0,3.57,1994,"Fantasy, Family Friendly",,Shin-Ei Animation
4087,"Sing ""Yesterday"" for Me",TV   ,12,3.57,2020,"Drama, Romance",Spring,Doga Kobo
4088,Yu Yu Hakusho: The Movie,Movie,0,3.57,1993,"Action, Shounen",,Pierrot
4089,Atashinchi 3D Movie: Jounetsu no Chou Chounouryoku Haha Daibousou,Movie,0,3.57,2010,"Comedy, Slice of Life",,Shin-Ei Animation
4090,"Lord El-Melloi II's Case Files {Rail Zeppelin} Grace note - A Grave Keeper, a Cat, and a Mage",TV Sp,0,3.57,2018,"Fantasy, England",,TROYCA
4091,Mahjong Hishouden: Naki no Ryuu,OVA  ,3,3.57,1988,"Drama, Seinen",,GAINAX
4092,Gan Gan Ganko-chan,TV   ,10,3.57,2016,"Fantasy, Slice of Life",Winter,10GAUGE
4093,Gundam Build Divers Re:RISE,Web  ,13,3.57,2019,"Action, Mecha",Fall ,Sunrise Beyond
4094,Gosenzo-sama Banbanzai!,OVA  ,6,3.57,1989,"Sci Fi, Abstract",,Pierrot
4095,Gan Gan Ganko-chan 2nd Season,TV   ,0,3.57,2018,"Fantasy, Slice of Life",Winter,10GAUGE
4096,"Why the Hell are You Here, Teacher!? Thirteenth Period",DVD S,0,3.57,2019,"Comedy, Ecchi",,Tear Studio
4097,Ranpou,TV   ,21,3.57,1984,"Comedy, Based on a Manga",,
4098,Kaiketsu Zorori Movie 4: ZZ no Himitsu,Movie,0,3.57,2017,"Adventure, Comedy",,BN Pictures
4099,EGOIST: Eiyuu Unmei no Uta,Music,0,3.57,2017,"Action, Fantasy",,
4100,A Town Where You Live: Tasogare Kousaten,OVA  ,2,3.57,2012,"Drama, Romance",,Tatsunoko Production
4101,Mahoujin Guru Guru Doki Doki Legend,TV   ,38,3.57,2000,"Adventure, Comedy",Spring,Nippon Animation
4102,Saki: Episode of Side A,TV   ,12,3.57,2012,"Comedy, Ecchi",Spring,Studio Gokumi
4103,Captain The Movie,Movie,0,3.57,1981,"Shounen, Sports",,Eiken
4104,Running Boy: Star Soldier no Himitsu,Movie,0,3.57,1986,"Action, Sci Fi",,
4105,Harbor Tale,Movie,0,3.57,2011,"Adventure, Fantasy",,
4106,Trusty Ginjiro,OVA  ,3,3.57,1991,"Action, Shounen",,Visual 80
4107,Robotech: The Shadow Chronicles,OVA  ,1,3.57,2006,"Action, Mecha",,Tatsunoko Production
4108,Shin Koihime Musou: Otome Tairan,TV   ,12,3.57,2010,"Adventure, Ecchi",Spring,Doga Kobo
4109,Gorillaman,OVA  ,2,3.57,1992,"Comedy, Seinen",,J.C.Staff
4110,Revue Starlight: Rondo Rondo Rondo,Movie,0,3.57,2020,"Drama, Abstract",,Kinema Citrus
4111,Oh! Edo Rocket,TV   ,26,3.57,2007,"Comedy, Drama",Spring,MADHOUSE
4112,Haiyore! Nyaruko-san W OVA,OVA  ,1,3.57,2014,"Comedy, Harem",,XEBEC
4113,Onegai My Melody Kirara,TV   ,52,3.57,2008,"Fantasy, Anthropomorphic",Spring,Studio Comet
4114,Da Capo if,OVA  ,2,3.57,2008,"Drama, Romance",,Zexcs
4115,Anata wo Zutto Aishiteru,Movie,0,3.57,2015,"Adventure, Animal Protagonists",,
4116,Brothers Conflict OVA,OVA  ,2,3.57,2014,"Reverse Harem, Romance",,Brain's Base
4117,Spiral,TV   ,25,3.57,2002,"Action, Mystery",Fall ,J.C.Staff
4118,Psychic Squad,TV   ,51,3.57,2008,"Action, Comedy",Spring,Synergy SP
4119,Gag Manga Biyori 2,TV   ,12,3.57,2006,"Comedy, Shounen",Summer,Artland
4120,Ninjaman Ippei,TV   ,13,3.57,1982,"Comedy, Shounen",,TMS Entertainment
4121,Jing: King of Bandits,TV   ,13,3.57,2002,"Adventure, Comedy",Spring,Studio DEEN
4122,Natsume Yuujinchou × Kumamoto-ken: Hitoyoshi/Kuma de no Yasashii Jikan,Web  ,1,3.57,2021,"Shoujo, Slice of Life",,
4123,The Lighthouse,Movie,0,3.57,2010,"Drama, Slice of Life",,MangoWork Studio
4124,Samurai Harem: Asu no Yoichi,TV   ,12,3.57,2009,"Comedy, Ecchi",Winter,AIC
4125,Urusei Yatsura Movie 3: Remember My Love,Movie,0,3.57,1985,"Comedy, Romance",,Studio DEEN
4126,Mafumafu: Onnanoko ni Naritai,Music,0,3.57,2019,,,
4127,Kunimatsu-sama no Otoridai,TV   ,46,3.57,1971,"Comedy, Sports",,Mushi Production
4128,The Thousand Musketeers OVA,OVA  ,1,3.57,2019,"Action, Military",,Double Eagle
4129,Bakugan: Geogan Rising,TV   ,0,3.57,2021,"Family Friendly, Proxy Battles",Winter,TMS Entertainment
4130,Show By Rock!!#,TV   ,12,3.57,2016,"Animal Characteristics, Music",Fall ,Bones
4131,Ikoku Irokoi Romantan,OVA  ,2,3.57,2007,"BL, Romance",,Prime Time
4132,Lupin III: Green vs Red,OVA  ,1,3.57,2008,"Action, Criminals",,
4133,Turn A Gundam,TV   ,50,3.57,1999,"Action, Mecha",Spring,Sunrise
4134,The Gymnastics Samurai,TV   ,11,3.57,2020,"Sports, Gymnastics",Fall ,MAPPA
4135,Taisho Baseball Girls,TV   ,12,3.57,2009,"Drama, Slice of Life",Summer,J.C.Staff
4136,Lupin III Special 26: Italian Game,TV Sp,0,3.57,2016,"Action, Comedy",,Telecom Animation Film
4137,Armitage III,OVA  ,4,3.57,1995,"Action, Sci Fi",,AIC
4138,Shinkansen Henkei Robo Shinkalion Z,TV   ,0,3.57,2021,"Action, Mecha",Spring,OLM
4139,Legends of the Dark King: A Fist of the North Star Story,TV   ,13,3.57,2008,"Action, Seinen",Fall ,SATELIGHT
4140,Our Home's Fox Deity,TV   ,24,3.57,2008,"Comedy, Fantasy",Spring,Zexcs
4141,Momokuri,Web  ,26,3.57,2015,"Comedy, Romance",Winter,SATELIGHT
4142,The Comic Artist and His Assistants Specials,DVD S,0,3.57,2014,"Comedy, Ecchi",,Zexcs
4143,Hells Angels,Movie,0,3.57,2008,"Action, Comedy",,MADHOUSE
4144,Pretty Cure Miracle Leap Movie: Minna to Fushigi na 1-nichi,Movie,0,3.57,2020,"Fantasy, Magical Girl",,Toei Animation
4145,Ikiteirutte Subarashii!,Movie,0,3.57,1972,Family Friendly,,Toei Animation
4146,Hua Jianghu Zhi Buliang Ren,Web  ,54,3.57,2014,"Action, Ancient China",,Beijing Rocen
4147,Maroko,Movie,0,3.57,1990,"Sci Fi, Abstract",,Pierrot
4148,Takuto: No.2,Music,0,3.57,2019,,,
4149,Sou Xuan Lu Zhi Chen Ling Ji,Web  ,6,3.57,2021,"Action, Fantasy",,SJNEXCUS
4150,Town Workers,Web  ,3,3.57,2014,"Promotional, Short Episodes",,Rockwell Eyes
4151,DAOKO: Boku (Re-Arrange),Music,0,3.57,2017,Abstract,,
4152,My Name is Elite☆,Music,0,3.57,2019,VTubers,,
4153,Hell's Paradise: Jigokuraku PV,Web  ,1,3.57,2021,"Action, Shounen",,MAPPA
4154,Photon: The Idiot Adventures,OVA  ,6,3.57,1997,"Adventure, Comedy",,AIC
4155,Resident Evil: Degeneration,Movie,0,3.57,2008,"Action, Horror",,Digital Frontier
4156,Pokemon Black Version 2 and White Version 2,Web  ,1,3.57,2012,"Fantasy, Shounen",,OLM
4157,Cute High Earth Defense Club LOVE! LOVE! LOVE!,OVA  ,1,3.57,2017,"Aliens, Contemporary Fantasy",,Studio Comet
4158,"Final Fantasy VII: On the Way to a Smile, Episode: Denzel",DVD S,0,3.57,2009,"Action, Fantasy",,A-1 Pictures
4159,Mahou Tsukai Sally 2,TV   ,88,3.57,1989,"Magical Girl, Shoujo",,Toei Animation
4160,Scryed Alteration I: Tao,Movie,0,3.57,2011,"Action, Sci Fi",,Sunrise
4161,Dan Fumi no Ohanashi Channel,OVA  ,5,3.57,1989,"Fantasy, Family Friendly",,
4162,Aoi Kioku: Manmou Kaitaku to Shounen-tachi,Movie,0,3.57,1993,"Drama, Historical",,Magic Bus
4163,Kawauso Labo,TV   ,26,3.57,2019,"Comedy, Animal Protagonists",Winter,Kachidoki Studio
4164,Tears to Tiara,TV   ,26,3.57,2009,"Action, Adventure",Spring,WHITE FOX
4165,Antarctic Penguin Colors,Web  ,0,3.57,2019,"Birds, Short Episodes",,
4166,Yattokame Tanteidan,TV   ,13,3.57,2007,"Mystery, Slice of Life",Fall ,Noside
4167,Iria: Zeiram The Animation,OVA  ,6,3.56,1994,"Action, Sci Fi",,Ashi Productions
4168,Junlin Chengxia,Web  ,13,3.56,2016,"Comedy, Fantasy",,
4169,Oyayubi Hime (1981),Movie,0,3.56,1981,"Fantasy, Family Friendly",,
4170,Malta no Kamishibai,Web  ,6,3.56,2018,"Slice of Life, Animal Protagonists",,
4171,Golgo 13,TV   ,50,3.56,2008,"Action, Seinen",Spring,The Answer Studio
4172,Burning Village,OVA  ,10,3.56,1989,"Fantasy, Horror",,
4173,David gwa Goliath,Movie,0,3.56,1967,"Adventure, Family Friendly",,
4174,Dasshutsu Gasshapon,Other,0,3.56,2012,"Sci Fi, Feudal Japan",,
4175,Maho-Yome,Other,0,3.56,2017,"Fantasy, Chibi",,W-Toon Studio
4176,Cybersix,TV   ,13,3.56,1999,"Action, Sci Fi",Summer,TMS Entertainment
4177,Fafner Exodus,TV   ,13,3.56,2015,"Action, Mecha",Winter,I.Gzwei
4178,Si Ling Bianma: Zhi Shijie Caozong Zhe Recap,Web  ,1,3.56,2014,"Horror, Mystery",,Foch
4179,Chou Hatsumei Boy Kanipan,TV   ,21,3.56,1999,"Adventure, Sci Fi",Winter,Studio Comet
4180,Shin Dokonjou Gaeru: Dokonjou Yumemakura,Movie,0,3.56,1982,"Comedy, Shounen",,TMS Entertainment
4181,High-Rise Invasion,Web  ,12,3.56,2021,"Action, Drama",Winter,Zero-G
4182,Touch: Cross Road - Kaze no Yukue,TV Sp,0,3.56,2001,"Drama, Romance",,Group TAC
4183,Karneval Specials,DVD S,0,3.56,2013,"Comedy, Fantasy",,Manglobe
4184,King of Prism: Shiny Seven Stars I - Prologue x Yukinojou x Taiga,Movie,0,3.56,2019,"Idols, Music",,Tatsunoko Production
4185,Sasuke,TV   ,29,3.56,1968,"Action, Adventure",,Tele-Cartoon Japan
4186,After War Gundam X,TV   ,39,3.56,1996,"Action, Mecha",,Sunrise
4187,"Waiting in the Summer: In Our Last Summer in High School, We Await That Summer",DVD S,0,3.56,2014,"Romance, Slice of Life",,J.C.Staff
4188,Code: Realize ~Guardian of Rebirth~ Set a thief to catch a thief,OVA  ,1,3.56,2018,"Based on an Otome Game, Based on a Visual Novel",,M.S.C.
4189,Honeyworks: Inokori Sensei,Music,0,3.56,2014,"Black and White, School Life",,
4190,Kodocha OVA,OVA  ,1,3.56,1995,"Comedy, Shoujo",,J.C.Staff
4191,Cencoroll,Movie,0,3.56,2009,"Action, Sci Fi",,
4192,Laid-Back Camp 2nd Season Specials,DVD S,0,3.56,2021,"Comedy, Slice of Life",,
4193,Shoujo Kageki Revue Starlight Specials,DVD S,0,3.56,2018,"Showbiz, Original Work",,Kinema Citrus
4194,Pig: The Dam Keeper Poems,TV   ,10,3.56,2017,"Slice of Life, Animal Protagonists",,Summer 2017
4195,Eunhajeonseol Tera,Movie,0,3.56,1983,"Adventure, Sci Fi",,
4196,Kyuumei Senshi Nanosaver,TV   ,28,3.56,1997,Adventure,Spring,Studio Junio
4197,Atagoal wa Neko no Mori,Movie,0,3.56,2006,"Adventure, Comedy",,
4198,Dragon Quest: Dai no Daibouken - Buchiyabure!! Shinsei 6 Daishougun,Movie,0,3.56,1992,"Action, Fantasy",,Toei Animation
4199,Mobile Suit Zeta Gundam: A New Translation II -Lovers-,Movie,0,3.56,2005,"Mecha, Sci Fi",,Sunrise
4200,Bakumatsu no Spasibo,Movie,0,3.56,1997,"Adventure, Historical",,Magic Bus
4201,Hitoshizuku-P × Yama△: Kaizoku F no Shouzou,Music,0,3.56,2014,"Fantasy, Person in a Strange World",,
4202,Jormungand Recap,TV Sp,0,3.56,2012,"Action, Seinen",,WHITE FOX
4203,Ginga Hyouryuu Vifam: Kachua Kara no Tayori,OVA  ,1,3.56,1984,"Action, Adventure",,Sunrise
4204,Home!,Web  ,1,3.56,2021,"Sci Fi, Anime Tamago",,Orange
4205,A Silent Voice Specials,DVD S,0,3.56,2017,Based on a Manga,,Kyoto Animation
4206,Moomin,TV   ,65,3.56,1969,"Adventure, Comedy",,Mushi Production
4207,Zinba,TV   ,52,3.56,2013,"Action, Adventure",,G.CMay Animation & Film
4208,Maria the Virgin Witch,TV   ,12,3.56,2015,"Comedy, Fantasy",Winter,Production I.G
4209,Wolf Girl and Black Prince Recap,TV Sp,0,3.56,2014,"Romance, Shoujo",,TYO Animations
4210,Girls und Panzer Specials,DVD S,0,3.56,2012,"Comedy, Slice of Life",,Actas
4211,Digimon Adventure 02 Movie: The Golden Digimentals,Movie,0,3.56,2000,"Action, Adventure",,Toei Animation
4212,Dirty Pair: With Love From the Lovely Angels,OVA  ,2,3.56,1987,"Action, Ecchi",,Sunrise
4213,Nintama Rantarou no Uchuu Daibouken with Cosmic Front☆Next,TV Sp,0,3.56,2016,"Adventure, Comedy",,Ajia-do
4214,Angelic Layer,TV   ,26,3.56,2001,"Action, Sci Fi",Spring,Bones
4215,Majestic Prince Movie: Kakusei no Idenshiko,Movie,0,3.56,2016,"Action, Drama",,Seven Arcs
4216,Galaxy Angel A,TV   ,26,3.56,2002,"Comedy, Sci Fi",Fall ,MADHOUSE
4217,Buddy Complex: Daremo Shiranai Ashita e,Other,0,3.56,2014,"Action, Mecha",,Sunrise
4218,Tantei Shounen Kageman,TV   ,39,3.56,2001,"Comedy, Mystery",Spring,Studio Hibari
4219,Hontoni Atta Gakko Kaidan,OVA  ,1,3.56,1996,"Mystery, Supernatural",,
4220,Kkomaeosa Ttori,Movie,0,3.56,1980,"Action, Adventure",,
4221,Kaba no Potomasu,Movie,0,3.56,1988,"Animal Protagonists, Family Friendly",,
4222,Waresho! Warera! Shoudoubutsu Aigo Iinkai,TV   ,0,3.56,2019,"Comedy, Aliens",,Summer 2019
4223,Mobile Suit Gakuen: Kaette Kita G-Reco Koushien,DVD S,0,3.56,2020,"Comedy, Parody",,
4224,Wasurenagumo,Movie,0,3.56,2012,"Comedy, Horror",,Production I.G
4225,Kenshi Yonezu: Matryoshka,Music,0,3.56,2010,Vocaloid,,
4226,Legendary Armor Samurai Troopers: Gaiden,OVA  ,2,3.56,1989,"Action, Power Suits",,Sunrise
4227,Muv-Luv Alternative: Total Eclipse,TV   ,24,3.56,2012,"Action, Mecha",Summer,aNCHOR
4228,Boyfriend,TV Sp,0,3.56,1992,"Romance, Shoujo",,Magic Bus
4229,Digimon Survive: Prologue Movie,Web  ,1,3.56,2019,"Fantasy, School Life",,Toei Animation
4230,Robot Carnival,OVA  ,9,3.56,1987,"Sci Fi, Collections",,A.P.P.P.
4231,Jiu Ye Shen Chuan,Web  ,13,3.56,2020,"Action, Adventure",,
4232,Sasameki Koto,TV   ,13,3.56,2009,"Comedy, Drama",Fall ,AIC
4233,Precarious Woman Executive Miss Black General,Other,0,3.56,2017,"Comedy, Shounen",,Craftar
4234,Before Green Gables,TV   ,39,3.56,2009,"Drama, 19th Century",Spring,Nippon Animation
4235,Soar High! Isami,TV   ,50,3.56,1995,"Adventure, Comedy",,Group TAC
4236,Shippu! Iron Leaguer,TV   ,52,3.56,1993,"Sci Fi, Sports",,Sunrise
4237,YAT Anshin! Uchuu Ryokou,TV   ,50,3.56,1996,"Adventure, Comedy",,Group TAC
4238,Fushigi Yugi OVA,OVA  ,3,3.56,1996,"Fantasy, Romance",,Pierrot
4239,Da Zhu Zai,Web  ,12,3.56,2019,"Action, Adventure",,Foch
4240,Norakuro-kun,TV   ,50,3.56,1987,"Comedy, Mystery",,Pierrot
4241,Genius Party,Other,0,3.56,2007,"Sci Fi, Abstract",,Studio 4°C
4242,Wei Wo Du Shen,Web  ,50,3.56,2021,"Action, Fantasy",,Ruo Hong Culture
4243,Dragon Quest: Dai no Daibouken - Tachiagare!! Avan no Shito,Movie,0,3.56,1992,"Action, Fantasy",,
4244,Garo: Vanishing Line,TV   ,24,3.56,2017,"Action, Fantasy",Fall ,MAPPA
4245,Garo The Animation,TV   ,24,3.56,2014,"Action, Adventure",Fall ,MAPPA
4246,Lagrange: The Flower of Rin-ne - Season 2,TV   ,12,3.56,2012,"Action, Comedy",Summer,XEBEC
4247,Tentou Mushi no Uta,TV   ,104,3.56,1974,"Drama, Slice of Life",,Tatsunoko Production
4248,Another World,Web  ,3,3.56,2019,"Drama, Romance",Summer,Graphinica
4249,Miracle Giants Dome-kun,TV   ,49,3.56,1989,"Shounen, Sports",,Gallop
4250,Ore wa Chokkaku,TV   ,36,3.56,1991,"Action, Comedy",,Pierrot
4251,Shingeki no Kyojin-ten 360° Taikan Theater,Other,0,3.56,2017,"Fantasy, Dark Fantasy",,WIT Studio
4252,Shakugan no Shana III Specials,DVD S,0,3.56,2012,"Comedy, Chibi",,J.C.Staff
4253,Memory of blue,Movie,0,3.56,2018,"Drama, Ocean",,Studio Himalaya
4254,Marty Friedman: The Perfect World,Music,0,3.56,2018,"Action, Sci Fi",,Production I.G
4255,Armitage III Poly-Matrix,Movie,0,3.56,1997,"Action, Sci Fi",,AIC
4256,Katato The Animation,Web  ,4,3.56,2017,"Comedy, Parody",,
4257,TUYU: Chuuken Hachi,Music,0,3.56,2021,"Drama, Animal Protagonists",,
4258,Encouragement of Climb: Omoide Present,OVA  ,1,3.56,2017,"Seinen, Slice of Life",,8-Bit
